elapsed_s	state	tx	rx	malformed	mac_fail	src_viol	unroutable	rss_kb	ping_ms
8508	established	493761928	248961354	0	0	0	11	5320	1.03
8570	established	498335552	251271255	0	0	0	11	5320	1.22
8632	established	502953463	253600634	0	0	0	12	5320	1.42
8694	established	507484322	255886621	0	0	0	12	5320	1.44
8755	established	511868824	258095599	0	0	0	12	5320	1.03
8817	established	516253943	260308505	0	0	0	12	5320	1.75
8879	established	520740013	262570487	0	0	0	12	5320	2.08
8940	established	525193665	264811598	0	0	0	12	5320	1.45
9002	established	529677588	267073102	0	0	0	12	5320	1.25
9064	established	533822287	269160820	0	0	0	12	5320	1.35
9126	established	538435985	271488363	0	0	0	12	5320	1.94
9188	established	543119677	273842216	0	0	0	12	5320	1.24
9250	established	547775320	276178024	0	0	0	12	5320	1.93
9312	established	552415146	278516233	0	0	0	12	5320	0.797
9373	established	556849501	280754384	0	0	0	12	5320	1.45
9435	established	560362713	282525926	0	0	0	12	5320	2.00
9497	established	564130036	284424299	0	0	0	12	5320	1.37
9559	established	568548809	286653228	0	0	0	12	5320	0.814
9620	established	573080435	288938630	0	0	0	12	5320	1.34
9682	established	577703846	291270462	0	0	0	12	5320	0.865
9744	established	582100099	293488514	0	0	0	12	5320	1.86
9805	established	586729154	295801606	0	0	0	12	5320	1.29
9867	established	591339790	298123229	0	0	0	12	5332	1.12
9929	established	596019193	300482699	0	0	0	12	5320	2.15
9991	established	600567201	302775938	0	0	0	12	5320	1.22
10053	established	605182443	305100122	0	0	0	12	5324	1.28
10114	established	609761941	307406013	0	0	0	12	5320	1.61
10176	established	614427188	309756463	0	0	0	12	5320	1.34
10238	established	618951431	312039162	0	0	0	12	5320	1.01
10300	established	623413637	314291263	0	0	0	12	5332	1.92
10361	established	627851485	316529618	0	0	0	12	5320	2.07
10423	established	632353285	318785350	0	0	0	12	5320	1.56
10485	established	636924100	321092312	0	0	0	12	5320	1.54
10547	established	641372827	323338089	0	0	0	12	5320	1.56
10608	established	645915255	325626423	0	0	0	12	5320	1.51
10670	established	650284685	327831419	0	0	0	12	5320	1.34
10732	established	654698487	330053800	0	0	0	12	5320	1.12
10794	established	658959725	332203222	0	0	0	12	5320	1.81
10856	established	662451010	333962907	0	0	0	12	5320	1.75
10917	established	666920402	336205556	0	0	0	12	5320	1.01
10979	established	671594734	338558445	0	0	0	12	5320	1.15
11041	established	676254295	340905550	0	0	0	12	5320	1.82
11103	established	680832940	343211569	0	0	0	12	5320	1.62
11165	established	685341919	345486934	0	0	0	12	5320	1.20
11227	established	689901553	347779393	0	0	0	12	5320	1.99
11288	established	694428250	350056372	0	0	0	12	5320	3.59
11350	established	698980374	352352495	0	0	0	12	5320	1.64
11412	established	703512370	354626603	0	0	0	12	5320	1.48
11474	established	708018949	356894935	0	0	0	12	5320	1.15
11535	established	712603301	359208712	0	0	0	12	5320	1.61
11597	established	716910882	361376422	0	0	0	12	5320	1.85
11659	established	721404224	363643985	0	0	0	12	5320	1.21
11721	established	725945629	365935172	0	0	0	12	5320	1.89
11783	established	730530148	368248213	0	0	0	12	5320	1.00
11844	established	735145619	370577955	0	0	0	12	5320	1.14
11906	established	739687201	372865423	0	0	0	12	5320	1.32
11968	established	744263417	375167987	0	0	0	12	5320	1.15
12030	established	748877235	377491971	0	0	0	13	5320	1.66
12092	established	753237378	379691138	0	0	0	13	5320	1.75
12154	established	757497033	381840141	0	0	0	13	5320	1.07
12216	established	762067778	384145417	0	0	0	13	5320	1.61
12278	established	766580757	386417014	0	0	0	13	5320	1.86
12340	established	771103798	388697941	0	0	0	13	5320	1.29
12402	established	775708891	391016779	0	0	0	13	5324	1.50
12463	established	780155648	393259296	0	0	0	13	5336	3.80
12525	established	784735275	395568519	0	0	0	13	5320	1.79
12587	established	789278189	397861590	0	0	0	13	5320	1.48
12649	established	793827574	400157228	0	0	0	13	5320	2.10
12711	established	798274121	402397370	0	0	0	13	5320	1.93
12773	established	802670189	404615851	0	0	0	13	5320	1.48
12834	established	807144729	406874606	0	0	0	13	5320	1.18
12896	established	811770135	409208210	0	0	0	13	5320	2.68
12958	established	816252449	411470029	0	0	0	13	5320	1.86
13020	established	820646896	413687694	0	0	0	13	5320	1.74
13081	established	825139165	415950653	0	0	0	13	5320	2.44
13143	established	829553541	418178350	0	0	0	13	5320	1.82
13205	established	834155359	420500577	0	0	0	13	5320	1.44
13266	established	838811902	422851315	0	0	0	13	5320	1.76
13328	established	843450807	425186482	0	0	0	13	5320	0.647
13390	established	847930380	427446712	0	0	0	13	5324	1.24
13452	established	852420879	429712829	0	0	0	13	5320	1.48
13514	established	856916434	431981386	0	0	0	13	5320	0.996
13575	established	861223620	434153005	0	0	0	13	5320	1.25
13637	established	865593447	436353809	0	0	0	13	5320	1.55
13699	established	869319698	438232235	0	0	0	13	5320	0.773
13761	established	873218112	440199602	0	0	0	13	5320	1.54
13823	established	876840413	442025327	0	0	0	13	5320	1.75
13885	established	880360209	443799417	0	0	0	13	5320	1.52
13946	established	884031718	445650242	0	0	0	13	5320	1.41
14008	established	887613849	447456689	0	0	0	13	5320	2.25
14070	established	891181076	449253090	0	0	0	13	5320	1.66
14132	established	894726408	451039350	0	0	0	13	5320	1.88
14196	established	896086065	451720826	0	0	0	13	5320	LOSS
14260	established	896086068	451720826	0	0	0	13	5320	LOSS
14324	established	896086069	451720826	0	0	0	13	5320	LOSS
14388	established	896086071	451720826	0	0	0	13	5320	LOSS
14450	established	896086072	451720826	0	0	0	13	5320	0.895
14511	established	897953772	452662941	0	0	0	13	5320	1.66
14573	established	902609524	455009512	0	0	0	13	5320	1.26
14635	established	907185131	457315398	0	0	0	13	5320	1.99
14697	established	911697420	459593156	0	0	0	13	5320	1.28
14759	established	916246026	461880246	0	0	0	13	5324	1.48
14820	established	920851271	464201971	0	0	0	13	5320	1.16
14882	established	925507756	466551102	0	0	0	13	5320	1.63
14944	established	930176555	468904741	0	0	0	13	5320	1.80
15006	established	934772786	471220628	0	0	0	13	5320	1.11
15067	established	939207115	473452672	0	0	0	13	5320	1.50
15129	established	943715960	475727149	0	0	0	13	5320	1.31
15191	established	948249920	478009303	0	0	0	13	5320	1.16
15253	established	952743477	480276816	0	0	0	13	5320	1.68
15315	established	957179011	482508641	0	0	0	13	5320	1.90
15376	established	961578285	484723127	0	0	0	13	5320	1.56
15438	established	965964686	486934281	0	0	0	13	5320	1.69
15500	established	970429669	489184457	0	0	0	13	5320	1.02
15561	established	974893626	491433121	0	0	0	13	5320	1.29
15623	established	979490562	493751556	0	0	0	13	5336	0.774
15685	established	984096050	496065472	0	0	0	14	5320	1.57
15746	established	988290689	498180422	0	0	0	14	5320	0.887
15808	established	992933911	500518682	0	0	0	14	5320	0.901
15870	established	997407283	502768981	0	0	0	14	5320	1.90
15932	established	1001273864	504719960	0	0	0	14	5320	1.91
15993	established	1005834466	507021013	0	0	0	14	5320	1.22
16055	established	1010237492	509244079	0	0	0	14	5320	2.10
16117	established	1013701648	510987902	0	0	0	14	5320	2.21
16178	established	1018232764	513274500	0	0	0	14	5320	1.15
16240	established	1022830778	515590160	0	0	0	14	5320	1.22
16302	established	1027292030	517840994	0	0	0	14	5320	1.09
16364	established	1031893533	520161989	0	0	0	14	5320	1.86
16425	established	1036482946	522477283	0	0	0	14	5320	1.22
16487	established	1040998048	524754428	0	0	0	14	5320	0.977
16549	established	1045628966	527091266	0	0	0	14	5320	1.33
16611	established	1050021699	529306746	0	0	0	14	5320	1.41
16672	established	1054472159	531552196	0	0	0	14	5320	1.28
16734	established	1058914778	533784499	0	0	0	14	5320	1.36
16796	established	1062907899	535798391	0	0	0	14	5320	1.12
16858	established	1067473823	538102642	0	0	0	14	5320	1.00
16920	established	1071521777	540142853	0	0	0	14	5320	1.78
16982	established	1075124379	541956937	0	0	0	14	5320	1.53
17044	established	1078871304	543847170	0	0	0	14	5320	1.54
17105	established	1082406422	545629672	0	0	0	14	5320	2.03
17167	established	1086026376	547452643	0	0	0	14	5332	1.85
17229	established	1089620742	549264734	0	0	0	14	5320	1.93
17292	established	1092422044	550677600	0	0	0	14	5320	LOSS
17356	established	1092422047	550677600	0	0	0	14	5320	LOSS
17420	established	1092422049	550677600	0	0	0	14	5320	LOSS
17484	established	1092422050	550677600	0	0	0	14	5320	LOSS
17548	established	1092422052	550677600	0	0	0	14	5320	LOSS
17611	established	1092422054	550677600	0	0	0	14	5320	LOSS
17676	established	1092422055	550677600	0	0	0	14	5320	LOSS
17739	established	1092422057	550677600	0	0	0	14	5320	LOSS
17801	established	1092422058	550677600	0	0	0	14	5320	0.801
17863	established	1093124458	551031628	0	0	0	14	5320	1.34
17925	established	1097739484	553358014	0	0	0	14	5320	1.83
17987	established	1101990102	555502624	0	0	0	14	5320	1.47
18048	established	1106490012	557772601	0	0	0	14	5320	1.31
18110	established	1110905311	559999229	0	0	0	14	5320	1.22
18172	established	1115506819	562311219	0	0	0	14	5320	1.46
18234	established	1120033375	564592002	0	0	0	14	5320	1.25
18295	established	1124644062	566919657	0	0	0	14	5320	1.39
18357	established	1129212452	569225067	0	0	0	14	5320	0.983
18419	established	1133002409	571135841	0	0	0	14	5320	1.68
18481	established	1136643936	572971135	0	0	0	14	5320	1.26
18542	established	1141147008	575243141	0	0	0	14	5320	1.32
18604	established	1145758919	577570514	0	0	0	14	5320	1.35
18666	established	1150361686	579892682	0	0	0	14	5320	1.12
18728	established	1154960438	582212734	0	0	0	14	5320	1.27
18790	established	1159529563	584518790	0	0	0	14	5320	1.51
18851	established	1164042553	586796779	0	0	0	14	5320	1.70
18913	established	1168556180	589074823	0	0	0	14	5320	1.18
18975	established	1173159076	591398192	0	0	0	14	5320	1.42
19037	established	1177717473	593698367	0	0	0	14	5320	1.41
19099	established	1182292729	596007548	0	0	0	14	5320	0.945
19161	established	1186896855	598331213	0	0	0	14	5320	1.11
19222	established	1191443697	600626000	0	0	0	14	5320	1.16
19284	established	1196028921	602935912	0	0	0	14	5324	1.43
19346	established	1200556063	605218245	0	0	0	14	5320	1.59
19407	established	1205110075	607508796	0	0	0	14	5320	1.67
19469	established	1209653818	609800014	0	0	0	14	5320	1.26
19531	established	1214210020	612096345	0	0	0	14	5320	1.35
19593	established	1218797397	614401991	0	0	0	14	5320	2.65
19655	established	1223368949	616708691	0	0	0	15	5320	1.35
19718	established	1224714287	617387691	0	0	0	15	5320	LOSS
19783	established	1224714290	617387691	0	0	0	15	5320	LOSS
19846	established	1224714291	617387691	0	0	0	15	5320	LOSS
19910	established	1224714293	617387691	0	0	0	15	5320	LOSS
19972	established	1224714294	617387691	0	0	0	15	5320	0.845
20034	established	1226618481	618345083	0	0	0	15	5320	1.46
20096	established	1231279262	620695782	0	0	0	15	5320	0.761
20157	established	1235930769	623037906	0	0	0	15	5320	1.43
20219	established	1240571400	625379916	0	0	0	15	5332	1.74
20281	established	1245201577	627714999	0	0	0	15	5320	1.21
20343	established	1249868937	630069673	0	0	0	15	5328	1.34
20405	established	1254471293	632391876	0	0	0	15	5320	1.40
20467	established	1259042698	634692288	0	0	0	15	5320	1.16
20529	established	1263501590	636937418	0	0	0	15	5320	2.19
20591	established	1267878547	639142524	0	0	0	15	5320	1.65
20653	established	1272235236	641331479	0	0	0	15	5320	1.64
20714	established	1276526632	643485431	0	0	0	15	5320	1.54
20776	established	1281060277	645767540	0	0	0	15	5320	1.39
20838	established	1285440464	647975470	0	0	0	15	5320	1.79
20899	established	1289875556	650204322	0	0	0	15	5320	1.52
20961	established	1293900548	652234053	0	0	0	15	5320	1.80
21025	established	1295702313	653142832	0	0	0	15	5320	LOSS
21089	established	1295702315	653142832	0	0	0	15	5320	LOSS
21152	established	1295702317	653142832	0	0	0	15	5320	LOSS
21216	established	1295702319	653142832	0	0	0	15	5320	LOSS
21280	established	1295702320	653142832	0	0	0	15	5320	LOSS
21344	established	1295702322	653142832	0	0	0	15	5320	LOSS
21408	established	1295702323	653142832	0	0	0	15	5320	LOSS
21471	established	1295702325	653142832	0	0	0	15	5320	LOSS
21533	established	1295702326	653142832	0	0	0	15	5320	0.781
21597	established	1296888675	653741017	0	0	0	15	5320	LOSS
21661	established	1296888681	653741017	0	0	0	15	5320	LOSS
21725	established	1296888683	653741017	0	0	0	15	5320	LOSS
21789	established	1296888684	653741017	0	0	0	15	5320	LOSS
21853	established	1296888686	653741017	0	0	0	15	5320	LOSS
21917	established	1296888687	653741017	0	0	0	15	5320	LOSS
21979	established	1296888689	653741017	0	0	0	15	5320	0.783
22041	established	1296888690	653741018	0	0	0	15	5320	0.777
22103	established	1300608476	655617903	0	0	0	15	5320	2.05
22165	established	1305188066	657917901	0	0	0	15	5320	1.06
22226	established	1309854099	660267849	0	0	0	15	5320	0.701
22288	established	1313971862	662338252	0	0	0	15	5320	1.39
22350	established	1318557376	664648555	0	0	0	15	5320	0.755
22411	established	1323130289	666948775	0	0	0	15	5320	1.24
22473	established	1327615956	669207934	0	0	0	15	5320	0.958
22535	established	1332148184	671487580	0	0	0	15	5320	1.51
22597	established	1336770021	673820080	0	0	0	15	5320	1.67
22658	established	1341399545	676156628	0	0	0	15	5320	1.98
22720	established	1345996703	678475961	0	0	0	15	5320	1.04
22782	established	1350607746	680794703	0	0	0	15	5320	1.99
22844	established	1355098531	683057692	0	0	0	15	5320	1.48
22906	established	1359580378	685310352	0	0	0	15	5320	1.62
22968	established	1364056417	687567774	0	0	0	15	5320	1.15
23029	established	1368553539	689837661	0	0	0	16	5320	1.35
23091	established	1372486423	691817448	0	0	0	16	5320	1.37
23153	established	1376022064	693601185	0	0	0	16	5320	1.71
23215	established	1380554621	695888573	0	0	0	16	5320	1.17
23277	established	1384396603	697826215	0	0	0	16	5320	1.02
23339	established	1387943486	699615134	0	0	0	16	5320	1.28
23401	established	1391526196	701422459	0	0	0	16	5320	2.07
23462	established	1395607789	703479498	0	0	0	16	5320	1.25
23524	established	1400069189	705729710	0	0	0	16	5320	0.944
23586	established	1404514970	707971309	0	0	0	16	5320	2.11
23648	established	1409055120	710259186	0	0	0	16	5320	1.56
23710	established	1413627202	712554637	0	0	0	16	5320	1.78
23771	established	1418249434	714877001	0	0	0	16	5332	0.948
23833	established	1422829066	717185643	0	0	0	16	5320	1.21
23895	established	1427424729	719500925	0	0	0	16	5320	1.64
23957	established	1432043313	721826950	0	0	0	16	5320	1.38
24018	established	1436659462	724144432	0	0	0	16	5328	1.40
24080	established	1441240359	726453622	0	0	0	16	5324	1.49
24142	established	1445853454	728777758	0	0	0	16	5320	1.18
24204	established	1450475667	731102367	0	0	0	16	5320	1.92
24265	established	1455044753	733402488	0	0	0	16	5320	1.41
24327	established	1458955759	735374601	0	0	0	16	5320	1.51
24389	established	1463101509	737462588	0	0	0	16	5320	1.51
24451	established	1467611831	739738955	0	0	0	16	5324	1.49
24512	established	1472109190	742006710	0	0	0	16	5320	1.83
24574	established	1476514297	744226442	0	0	0	16	5320	1.49
24636	established	1481000884	746483614	0	0	0	16	5320	1.30
24698	established	1485497097	748740946	0	0	0	16	5320	1.29
24760	established	1489983596	750997372	0	0	0	16	5320	1.36
24822	established	1494558834	753299000	0	0	0	16	5320	1.54
24883	established	1499105200	755593709	0	0	0	16	5320	1.34
24945	established	1503636887	757880956	0	0	0	16	5320	1.28
25007	established	1508226358	760196625	0	0	0	16	5320	1.01
25069	established	1512762977	762485768	0	0	0	16	5320	1.34
25131	established	1517283866	764767169	0	0	0	16	5320	1.28
25193	established	1521728268	767008267	0	0	0	16	5320	2.46
