elapsed_s	state	tx	rx	malformed	decrypt_fail	mac_fail	src_viol	unroutable	rss_kb	ping_ms
10314	established	730161204	368019247	0	0	0	0	12	5352	1.61
10376	established	734660571	370289122	0	0	0	0	12	5352	0.933
10437	established	739279550	372615190	0	0	0	0	12	5352	1.25
10499	established	743895507	374944980	0	0	0	0	12	5352	1.06
10561	established	748152778	377090745	0	0	0	0	12	5352	0.837
10623	established	752655335	379361776	0	0	0	0	12	5352	1.34
10685	established	757203566	381658033	0	0	0	0	12	5352	0.977
10747	established	761684851	383920088	0	0	0	0	12	5352	1.52
10808	established	766281696	386239369	0	0	0	0	12	5352	1.51
10870	established	770909876	388566073	0	0	0	0	12	5352	1.21
10932	established	775429595	390838070	0	0	0	0	12	5352	1.37
10993	established	779929491	393102415	0	0	0	0	12	5352	1.62
11055	established	784496855	395404979	0	0	0	0	12	5352	1.83
11117	established	789017941	397685695	0	0	0	0	12	5352	1.79
11179	established	793586714	399989183	0	0	0	0	12	5352	1.40
11241	established	798083735	402257077	0	0	0	0	12	5352	0.993
11302	established	802649644	404561859	0	0	0	0	12	5352	1.34
11364	established	807134935	406821535	0	0	0	0	12	5352	1.84
11426	established	811759793	409154394	0	0	0	0	12	5352	1.14
11488	established	815745518	411156788	0	0	0	0	12	5352	1.59
11549	established	819251508	412925510	0	0	0	0	12	5352	1.33
11611	established	822767620	414698710	0	0	0	0	13	5352	1.02
11673	established	826308677	416484408	0	0	0	0	13	5352	1.48
11735	established	830785546	418741678	0	0	0	0	13	5352	1.40
11797	established	835396302	421068332	0	0	0	0	13	5352	2.37
11858	established	838859369	422814896	0	0	0	0	13	5352	1.40
11920	established	842450350	424626092	0	0	0	0	13	5352	1.45
11982	established	845921873	426377805	0	0	0	0	13	5352	1.59
12044	established	849621887	428245385	0	0	0	0	13	5352	1.51
12105	established	853131086	430015239	0	0	0	0	13	5352	1.68
12167	established	856910194	431921513	0	0	0	0	13	5352	1.31
12229	established	861473990	434224251	0	0	0	0	13	5352	1.02
12291	established	865999399	436507370	0	0	0	0	13	5352	1.03
12353	established	870553383	438805130	0	0	0	0	13	5352	1.72
12415	established	875146131	441123616	0	0	0	0	13	5352	1.36
12477	established	879649210	443387378	0	0	0	0	13	5352	1.28
12539	established	884093771	445623878	0	0	0	0	13	5352	1.36
12601	established	888649320	447922713	0	0	0	0	13	5352	1.67
12662	established	893205834	450221355	0	0	0	0	13	5352	1.31
12724	established	897603433	452436903	0	0	0	0	13	5352	1.51
12786	established	902228674	454771839	0	0	0	0	13	5352	1.47
12847	established	906843692	457093280	0	0	0	0	13	5352	1.47
12909	established	911471748	459429766	0	0	0	0	13	5352	1.30
12971	established	916070684	461750332	0	0	0	0	13	5352	0.957
13033	established	920700260	464086669	0	0	0	0	13	5352	1.68
13095	established	925237819	466376629	0	0	0	0	13	5352	1.68
13156	established	929758898	468652831	0	0	0	0	13	5352	1.84
13218	established	933604219	470591913	0	0	0	0	13	5352	1.50
13280	established	937418036	472515409	0	0	0	0	13	5352	0.850
13342	established	941929388	474793260	0	0	0	0	13	5352	0.931
13403	established	945710593	476698560	0	0	0	0	13	5352	1.96
13465	established	949211949	478465207	0	0	0	0	13	5352	1.45
13527	established	953174409	480465094	0	0	0	0	13	5352	1.06
13589	established	957727433	482761586	0	0	0	0	13	5352	1.35
13651	established	962163373	484996066	0	0	0	0	13	5352	0.926
13712	established	966674583	487263360	0	0	0	0	13	5352	1.48
13774	established	971287420	489582129	0	0	0	0	13	5352	1.05
13836	established	975899819	491900164	0	0	0	0	13	5352	1.45
13898	established	980492304	494215212	0	0	0	0	13	5352	1.18
13959	established	985044052	496505736	0	0	0	0	13	5352	1.44
14021	established	989591930	498801750	0	0	0	0	13	5352	0.990
14083	established	994054622	501055552	0	0	0	0	13	5352	1.80
14145	established	998447078	503271099	0	0	0	0	13	5352	1.54
14206	established	1002145054	505136163	0	0	0	0	13	5352	1.59
14268	established	1006113568	507138771	0	0	0	0	13	5352	1.25
14330	established	1010635129	509421704	0	0	0	0	13	5352	1.43
14392	established	1014293340	511267191	0	0	0	0	13	5352	1.16
14453	established	1018335899	513306734	0	0	0	0	13	5352	1.87
14515	established	1022887482	515604929	0	0	0	0	13	5352	1.00
14577	established	1027456941	517911325	0	0	0	0	13	5352	2.02
14639	established	1031910831	520152119	0	0	0	0	13	5352	1.46
14701	established	1036459914	522440392	0	0	0	0	13	5352	1.41
14762	established	1040486124	524469198	0	0	0	0	13	5352	1.69
14824	established	1043953180	526216890	0	0	0	0	13	5352	1.52
14886	established	1047417331	527963879	0	0	0	0	13	5352	1.28
14948	established	1051904740	530228555	0	0	0	0	13	5352	1.79
15010	established	1056456439	532525309	0	0	0	0	13	5352	1.04
15071	established	1060635197	534633361	0	0	0	0	13	5352	1.51
15133	established	1064826582	536745656	0	0	0	0	13	5352	1.32
15195	established	1069318741	539013952	0	0	0	0	13	5352	1.89
15257	established	1073889871	541320529	0	0	0	0	14	5352	1.33
15318	established	1078385531	543589044	0	0	0	0	14	5352	1.47
15380	established	1082887878	545851042	0	0	0	0	14	5352	1.44
15442	established	1087329163	548088030	0	0	0	0	14	5352	1.81
15504	established	1091915697	550400994	0	0	0	0	14	5352	1.14
15565	established	1096507635	552718748	0	0	0	0	14	5352	1.23
15627	established	1101086943	555029755	0	0	0	0	14	5352	1.32
15689	established	1105661745	557338605	0	0	0	0	14	5352	0.991
15751	established	1110234404	559644124	0	0	0	0	14	5352	1.28
15813	established	1114743590	561919187	0	0	0	0	14	5352	1.04
15875	established	1119311635	564218709	0	0	0	0	14	5352	1.47
15936	established	1123844426	566506822	0	0	0	0	14	5352	1.50
15998	established	1128414662	568806537	0	0	0	0	14	5352	2.09
16060	established	1132943321	571092709	0	0	0	0	14	5352	1.71
16122	established	1137488892	573387639	0	0	0	0	14	5352	1.41
16184	established	1142062908	575696321	0	0	0	0	14	5352	1.31
16245	established	1146646317	578008256	0	0	0	0	14	5352	1.64
16307	established	1151212809	580309282	0	0	0	0	14	5352	1.80
16369	established	1155799771	582618657	0	0	0	0	14	5352	1.89
16431	established	1160418091	584948803	0	0	0	0	14	5352	0.961
16492	established	1164929427	587226010	0	0	0	0	14	5352	1.96
16554	established	1168709155	589128193	0	0	0	0	14	5352	1.50
16616	established	1172212006	590894731	0	0	0	0	14	5352	1.44
16678	established	1176129571	592869157	0	0	0	0	14	5352	1.33
16739	established	1180165259	594905616	0	0	0	0	14	5352	1.72
16801	established	1184769521	597230534	0	0	0	0	14	5352	1.58
16863	established	1188655629	599191395	0	0	0	0	14	5352	1.36
16925	established	1193113177	601442504	0	0	0	0	14	5352	1.19
